61.254.25.121 - - [19/Jun/2023:03:50:09 +0000] "GET /healthpartnerWeb/html/writePostPage.html HTTP/1.1" 304 -
61.254.25.121 - - [19/Jun/2023:03:50:09 +0000] "GET /healthpartnerWeb/css/writePostPage.css HTTP/1.1" 200 498
61.254.25.121 - - [19/Jun/2023:03:50:21 +0000] "GET /healthpartnerWeb/html/writePostPage.html HTTP/1.1" 304 -
61.254.25.121 - - [19/Jun/2023:03:50:21 +0000] "GET /healthpartnerWeb/css/writePostPage.css HTTP/1.1" 200 474
61.254.25.121 - - [19/Jun/2023:03:50:28 +0000] "GET /healthpartnerWeb/html/writePostPage.html HTTP/1.1" 304 -
61.254.25.121 - - [19/Jun/2023:03:50:28 +0000] "GET /healthpartnerWeb/css/writePostPage.css HTTP/1.1" 200 498
61.254.25.121 - - [19/Jun/2023:03:50:49 +0000] "GET /healthpartnerWeb/html/writePostPage.html HTTP/1.1" 304 -
61.254.25.121 - - [19/Jun/2023:03:50:49 +0000] "GET /healthpartnerWeb/css/writePostPage.css HTTP/1.1" 200 516
61.254.25.121 - - [19/Jun/2023:03:51:14 +0000] "GET /healthpartnerWeb/html/writePostPage.html HTTP/1.1" 304 -
61.254.25.121 - - [19/Jun/2023:03:51:14 +0000] "GET /healthpartnerWeb/css/writePostPage.css HTTP/1.1" 200 537
61.254.25.121 - - [19/Jun/2023:03:57:25 +0000] "GET /healthpartnerWeb/html/writePostPage.html HTTP/1.1" 304 -
61.254.25.121 - - [19/Jun/2023:03:57:26 +0000] "GET /healthpartnerWeb/css/writePostPage.css HTTP/1.1" 304 -
61.254.25.121 - - [19/Jun/2023:03:57:57 +0000] "GET /healthpartnerWeb/html/writePostPage.html HTTP/1.1" 304 -
61.254.25.121 - - [19/Jun/2023:03:59:24 +0000] "GET /healthpartnerWeb/html/writePostPage.html HTTP/1.1" 200 1022
61.254.25.121 - - [19/Jun/2023:03:59:24 +0000] "GET /healthpartnerWeb/css/writePostPage.css HTTP/1.1" 200 537
198.235.24.161 - - [19/Jun/2023:03:59:40 +0000] "GET / HTTP/1.1" 200 443
61.254.25.121 - - [19/Jun/2023:04:01:29 +0000] "GET /healthpartnerWeb/html/writePostPage.html HTTP/1.1" 304 -
61.254.25.121 - - [19/Jun/2023:04:01:29 +0000] "GET /healthpartnerWeb/css/writePostPage.css HTTP/1.1" 200 640
61.254.25.121 - - [19/Jun/2023:04:01:43 +0000] "GET /healthpartnerWeb/html/writePostPage.html HTTP/1.1" 304 -
61.254.25.121 - - [19/Jun/2023:04:01:43 +0000] "GET /healthpartnerWeb/css/writePostPage.css HTTP/1.1" 200 657
61.254.25.121 - - [19/Jun/2023:04:02:12 +0000] "GET /healthpartnerWeb/html/writePostPage.html HTTP/1.1" 304 -
61.254.25.121 - - [19/Jun/2023:04:02:12 +0000] "GET /healthpartnerWeb/css/writePostPage.css HTTP/1.1" 200 683
61.254.25.121 - - [19/Jun/2023:04:04:14 +0000] "GET /healthpartnerWeb/html/writePostPage.html HTTP/1.1" 304 -
61.254.25.121 - - [19/Jun/2023:04:04:14 +0000] "GET /healthpartnerWeb/css/writePostPage.css HTTP/1.1" 200 696
61.254.25.121 - - [19/Jun/2023:04:04:40 +0000] "GET /healthpartnerWeb/html/writePostPage.html HTTP/1.1" 304 -
61.254.25.121 - - [19/Jun/2023:04:04:40 +0000] "GET /healthpartnerWeb/css/writePostPage.css HTTP/1.1" 200 696
61.254.25.121 - - [19/Jun/2023:04:04:49 +0000] "GET /healthpartnerWeb/html/writePostPage.html HTTP/1.1" 304 -
61.254.25.121 - - [19/Jun/2023:04:04:49 +0000] "GET /healthpartnerWeb/css/writePostPage.css HTTP/1.1" 200 696
61.254.25.121 - - [19/Jun/2023:04:05:00 +0000] "GET /healthpartnerWeb/html/writePostPage.html HTTP/1.1" 304 -
61.254.25.121 - - [19/Jun/2023:04:05:00 +0000] "GET /healthpartnerWeb/css/writePostPage.css HTTP/1.1" 200 674
35.203.210.79 - - [19/Jun/2023:04:09:31 +0000] "GET / HTTP/1.1" 200 443
